match_id,season,city,date,team1,team2,toss_winner,toss_decision,result,winner,win_by_runs,win_by_wickets,player_of_match,venue,umpire1,umpire2
258,2012,Chandigarh,2012-05-13,Lucknow Super Giants,Delhi Capitals,Lucknow Super Giants,field,normal,Lucknow Super Giants,0,5,Player_102,"Feroz Shah Kotla, Delhi",Umpire_9,Umpire_27
259,2012,Lucknow,2012-04-09,Gujarat Titans,Lucknow Super Giants,Gujarat Titans,field,normal,Gujarat Titans,54,0,Player_103,"Ekana Cricket Stadium, Lucknow",Umpire_21,Umpire_24
260,2012,Lucknow,2012-03-15,Delhi Capitals,Lucknow Super Giants,Lucknow Super Giants,field,normal,Lucknow Super Giants,0,6,Player_22,"Sawai Mansingh Stadium, Jaipur",Umpire_3,Umpire_13
261,2012,Jaipur,2012-03-27,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,Kolkata Knight Riders,0,8,Player_13,"Wankhede Stadium, Mumbai",Umpire_21,Umpire_24
262,2012,Chennai,2012-03-25,Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,field,normal,Kolkata Knight Riders,0,2,Player_14,"Rajiv Gandhi Intl Stadium, Hyderabad",Umpire_12,Umpire_23
263,2012,Hyderabad,2012-05-18,Punjab Kings,Chennai Super Kings,Chennai Super Kings,field,normal,Chennai Super Kings,17,0,Player_65,"Eden Gardens, Kolkata",Umpire_4,Umpire_13
264,2012,Kolkata,2012-04-08,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,field,normal,Mumbai Indians,0,2,Player_24,"Narendra Modi Stadium, Ahmedabad",Umpire_7,Umpire_13
265,2012,Hyderabad,2012-04-11,Rajasthan Royals,Delhi Capitals,Rajasthan Royals,bat,normal,Rajasthan Royals,0,5,Player_126,"Rajiv Gandhi Intl Stadium, Hyderabad",Umpire_5,Umpire_6
266,2012,Kolkata,2012-04-11,Mumbai Indians,Gujarat Titans,Gujarat Titans,field,normal,Mumbai Indians,63,0,Player_43,"Wankhede Stadium, Mumbai",Umpire_4,Umpire_4
267,2012,Ahmedabad,2012-05-14,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,Sunrisers Hyderabad,3,0,Player_18,"Wankhede Stadium, Mumbai",Umpire_27,Umpire_9
268,2012,Lucknow,2012-04-10,Mumbai Indians,Punjab Kings,Mumbai Indians,bat,normal,Mumbai Indians,0,9,Player_58,"Rajiv Gandhi Intl Stadium, Hyderabad",Umpire_9,Umpire_25
269,2012,Ahmedabad,2012-04-18,Rajasthan Royals,Mumbai Indians,Rajasthan Royals,field,normal,Rajasthan Royals,0,2,Player_54,"Wankhede Stadium, Mumbai",Umpire_19,Umpire_18
270,2012,Jaipur,2012-04-26,Sunrisers Hyderabad,Gujarat Titans,Sunrisers Hyderabad,bat,normal,Gujarat Titans,0,7,Player_59,"PCA Stadium, Chandigarh",Umpire_7,Umpire_15
271,2012,Bangalore,2012-04-29,Chennai Super Kings,Lucknow Super Giants,Chennai Super Kings,bat,normal,Lucknow Super Giants,80,0,Player_175,"Feroz Shah Kotla, Delhi",Umpire_23,Umpire_16
272,2012,Delhi,2012-05-23,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,field,normal,Royal Challengers Bangalore,0,5,Player_29,"M. Chinnaswamy Stadium, Bangalore",Umpire_25,Umpire_6
273,2012,Bangalore,2012-05-04,Punjab Kings,Royal Challengers Bangalore,Punjab Kings,field,normal,Punjab Kings,22,0,Player_73,"Rajiv Gandhi Intl Stadium, Hyderabad",Umpire_19,Umpire_19
274,2012,Chennai,2012-03-10,Delhi Capitals,Royal Challengers Bangalore,Delhi Capitals,bat,normal,Royal Challengers Bangalore,0,4,Player_137,"Ekana Cricket Stadium, Lucknow",Umpire_7,Umpire_4
275,2012,Mumbai,2012-04-07,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,field,normal,Kolkata Knight Riders,88,0,Player_159,"PCA Stadium, Chandigarh",Umpire_1,Umpire_11
276,2012,Lucknow,2012-05-02,Gujarat Titans,Mumbai Indians,Gujarat Titans,field,normal,Gujarat Titans,53,0,Player_106,"PCA Stadium, Chandigarh",Umpire_4,Umpire_12
277,2012,Jaipur,2012-04-20,Mumbai Indians,Gujarat Titans,Mumbai Indians,field,normal,Gujarat Titans,60,0,Player_166,"Narendra Modi Stadium, Ahmedabad",Umpire_29,Umpire_10
278,2012,Ahmedabad,2012-04-26,Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,bat,normal,Kolkata Knight Riders,27,0,Player_89,"M.A. Chidambaram Stadium, Chennai",Umpire_12,Umpire_8
279,2012,Chennai,2012-03-15,Delhi Capitals,Sunrisers Hyderabad,Delhi Capitals,field,normal,Delhi Capitals,0,9,Player_12,"Feroz Shah Kotla, Delhi",Umpire_28,Umpire_20
280,2012,Bangalore,2012-04-14,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,Mumbai Indians,45,0,Player_127,"M. Chinnaswamy Stadium, Bangalore",Umpire_24,Umpire_25
281,2012,Hyderabad,2012-05-14,Sunrisers Hyderabad,Punjab Kings,Punjab Kings,bat,normal,Punjab Kings,78,0,Player_198,"Wankhede Stadium, Mumbai",Umpire_13,Umpire_23
282,2012,Delhi,2012-05-03,Delhi Capitals,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,Delhi Capitals,0,1,Player_17,"Eden Gardens, Kolkata",Umpire_14,Umpire_22
283,2012,Ahmedabad,2012-05-01,Chennai Super Kings,Gujarat Titans,Gujarat Titans,field,normal,Chennai Super Kings,69,0,Player_172,"Rajiv Gandhi Intl Stadium, Hyderabad",Umpire_11,Umpire_7
284,2012,Mumbai,2012-04-29,Mumbai Indians,Sunrisers Hyderabad,Sunrisers Hyderabad,field,normal,Mumbai Indians,0,1,Player_84,"Sawai Mansingh Stadium, Jaipur",Umpire_8,Umpire_29
285,2012,Ahmedabad,2012-04-28,Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,field,normal,Sunrisers Hyderabad,91,0,Player_52,"Feroz Shah Kotla, Delhi",Umpire_13,Umpire_22
286,2012,Kolkata,2012-05-23,Gujarat Titans,Mumbai Indians,Gujarat Titans,field,normal,Gujarat Titans,0,7,Player_11,"Ekana Cricket Stadium, Lucknow",Umpire_10,Umpire_27
287,2012,Chandigarh,2012-05-11,Sunrisers Hyderabad,Delhi Capitals,Delhi Capitals,field,normal,Delhi Capitals,47,0,Player_103,"M. Chinnaswamy Stadium, Bangalore",Umpire_25,Umpire_12
288,2012,Ahmedabad,2012-04-04,Delhi Capitals,Chennai Super Kings,Delhi Capitals,bat,normal,Delhi Capitals,54,0,Player_75,"Wankhede Stadium, Mumbai",Umpire_7,Umpire_14
289,2012,Kolkata,2012-04-28,Gujarat Titans,Punjab Kings,Gujarat Titans,bat,normal,Gujarat Titans,0,4,Player_17,"Eden Gardens, Kolkata",Umpire_16,Umpire_14
290,2012,Lucknow,2012-05-22,Delhi Capitals,Gujarat Titans,Gujarat Titans,field,normal,Delhi Capitals,0,9,Player_81,"M.A. Chidambaram Stadium, Chennai",Umpire_17,Umpire_9
291,2012,Jaipur,2012-04-04,Rajasthan Royals,Punjab Kings,Punjab Kings,field,normal,Rajasthan Royals,43,0,Player_1,"Rajiv Gandhi Intl Stadium, Hyderabad",Umpire_18,Umpire_9
292,2012,Bangalore,2012-03-17,Gujarat Titans,Mumbai Indians,Gujarat Titans,field,normal,Gujarat Titans,0,3,Player_39,"Ekana Cricket Stadium, Lucknow",Umpire_16,Umpire_7
293,2012,Lucknow,2012-05-26,Mumbai Indians,Delhi Capitals,Delhi Capitals,bat,normal,Mumbai Indians,58,0,Player_134,"Sawai Mansingh Stadium, Jaipur",Umpire_12,Umpire_8
294,2012,Ahmedabad,2012-04-21,Lucknow Super Giants,Kolkata Knight Riders,Lucknow Super Giants,bat,normal,Kolkata Knight Riders,39,0,Player_76,"Rajiv Gandhi Intl Stadium, Hyderabad",Umpire_29,Umpire_1
295,2012,Lucknow,2012-05-04,Royal Challengers Bangalore,Mumbai Indians,Royal Challengers Bangalore,field,normal,Royal Challengers Bangalore,0,1,Player_123,"M.A. Chidambaram Stadium, Chennai",Umpire_4,Umpire_17
296,2012,Kolkata,2012-05-17,Delhi Capitals,Gujarat Titans,Delhi Capitals,field,normal,Gujarat Titans,28,0,Player_9,"Ekana Cricket Stadium, Lucknow",Umpire_13,Umpire_22
297,2012,Lucknow,2012-03-15,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,bat,normal,Kolkata Knight Riders,0,3,Player_35,"Sawai Mansingh Stadium, Jaipur",Umpire_12,Umpire_15
298,2012,Delhi,2012-03-07,Lucknow Super Giants,Mumbai Indians,Lucknow Super Giants,bat,normal,Mumbai Indians,9,0,Player_15,"Rajiv Gandhi Intl Stadium, Hyderabad",Umpire_6,Umpire_2
299,2012,Mumbai,2012-04-14,Royal Challengers Bangalore,Lucknow Super Giants,Lucknow Super Giants,field,normal,Royal Challengers Bangalore,0,9,Player_112,"Narendra Modi Stadium, Ahmedabad",Umpire_4,Umpire_25
300,2012,Kolkata,2012-05-15,Gujarat Titans,Punjab Kings,Gujarat Titans,field,normal,Gujarat Titans,0,9,Player_137,"PCA Stadium, Chandigarh",Umpire_20,Umpire_28
301,2012,Bangalore,2012-04-18,Sunrisers Hyderabad,Delhi Capitals,Delhi Capitals,bat,normal,Sunrisers Hyderabad,0,9,Player_111,"M.A. Chidambaram Stadium, Chennai",Umpire_2,Umpire_10
302,2012,Delhi,2012-04-14,Rajasthan Royals,Mumbai Indians,Rajasthan Royals,field,no result,,0,0,Player_14,"Sawai Mansingh Stadium, Jaipur",Umpire_13,Umpire_12
303,2012,Mumbai,2012-03-26,Lucknow Super Giants,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,Lucknow Super Giants,52,0,Player_99,"M.A. Chidambaram Stadium, Chennai",Umpire_3,Umpire_8
304,2012,Lucknow,2012-03-25,Mumbai Indians,Chennai Super Kings,Mumbai Indians,bat,normal,Mumbai Indians,85,0,Player_65,"Sawai Mansingh Stadium, Jaipur",Umpire_23,Umpire_19
305,2012,Chandigarh,2012-05-15,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,field,normal,Kolkata Knight Riders,0,2,Player_168,"Eden Gardens, Kolkata",Umpire_10,Umpire_7
306,2012,Hyderabad,2012-03-22,Lucknow Super Giants,Sunrisers Hyderabad,Lucknow Super Giants,bat,normal,Sunrisers Hyderabad,0,1,Player_117,"Wankhede Stadium, Mumbai",Umpire_28,Umpire_9
307,2012,Mumbai,2012-05-18,Delhi Capitals,Sunrisers Hyderabad,Sunrisers Hyderabad,bat,normal,Sunrisers Hyderabad,99,0,Player_192,"Wankhede Stadium, Mumbai",Umpire_20,Umpire_29
308,2012,Hyderabad,2012-05-25,Gujarat Titans,Chennai Super Kings,Chennai Super Kings,field,normal,Chennai Super Kings,19,0,Player_16,"Sawai Mansingh Stadium, Jaipur",Umpire_19,Umpire_9
309,2012,Hyderabad,2012-05-10,Rajasthan Royals,Gujarat Titans,Rajasthan Royals,field,normal,Rajasthan Royals,48,0,Player_10,"Narendra Modi Stadium, Ahmedabad",Umpire_20,Umpire_18
310,2012,Hyderabad,2012-03-20,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,bat,normal,Royal Challengers Bangalore,69,0,Player_79,"M.A. Chidambaram Stadium, Chennai",Umpire_15,Umpire_2
311,2012,Lucknow,2012-03-20,Lucknow Super Giants,Sunrisers Hyderabad,Lucknow Super Giants,field,normal,Lucknow Super Giants,0,5,Player_199,"M.A. Chidambaram Stadium, Chennai",Umpire_22,Umpire_24
312,2012,Mumbai,2012-03-02,Royal Challengers Bangalore,Mumbai Indians,Royal Challengers Bangalore,field,normal,Mumbai Indians,55,0,Player_153,"Ekana Cricket Stadium, Lucknow",Umpire_7,Umpire_28
313,2012,Chandigarh,2012-03-04,Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,Mumbai Indians,0,3,Player_15,"Narendra Modi Stadium, Ahmedabad",Umpire_12,Umpire_23
314,2012,Chennai,2012-05-10,Delhi Capitals,Gujarat Titans,Delhi Capitals,bat,normal,Gujarat Titans,0,8,Player_17,"Rajiv Gandhi Intl Stadium, Hyderabad",Umpire_27,Umpire_10
315,2013,Kolkata,2013-05-06,Lucknow Super Giants,Royal Challengers Bangalore,Lucknow Super Giants,field,normal,Lucknow Super Giants,0,2,Player_189,"Eden Gardens, Kolkata",Umpire_26,Umpire_16
316,2013,Chandigarh,2013-04-04,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,bat,normal,Chennai Super Kings,0,1,Player_35,"Eden Gardens, Kolkata",Umpire_22,Umpire_13
317,2013,Ahmedabad,2013-05-17,Chennai Super Kings,Delhi Capitals,Chennai Super Kings,field,normal,Delhi Capitals,0,5,Player_176,"Feroz Shah Kotla, Delhi",Umpire_16,Umpire_3
318,2013,Jaipur,2013-05-15,Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,normal,Chennai Super Kings,0,2,Player_50,"M. Chinnaswamy Stadium, Bangalore",Umpire_23,Umpire_8
319,2013,Chennai,2013-04-07,Punjab Kings,Lucknow Super Giants,Lucknow Super Giants,bat,normal,Punjab Kings,0,2,Player_159,"Narendra Modi Stadium, Ahmedabad",Umpire_6,Umpire_14
320,2013,Lucknow,2013-03-11,Royal Challengers Bangalore,Gujarat Titans,Gujarat Titans,field,normal,Gujarat Titans,0,2,Player_17,"Ekana Cricket Stadium, Lucknow",Umpire_23,Umpire_2
321,2013,Ahmedabad,2013-03-10,Punjab Kings,Lucknow Super Giants,Punjab Kings,field,normal,Punjab Kings,0,8,Player_185,"M.A. Chidambaram Stadium, Chennai",Umpire_9,Umpire_11
322,2013,Mumbai,2013-03-18,Lucknow Super Giants,Delhi Capitals,Lucknow Super Giants,bat,normal,Delhi Capitals,97,0,Player_27,"Wankhede Stadium, Mumbai",Umpire_28,Umpire_10
323,2013,Mumbai,2013-03-11,Mumbai Indians,Lucknow Super Giants,Lucknow Super Giants,bat,normal,Mumbai Indians,77,0,Player_39,"Ekana Cricket Stadium, Lucknow",Umpire_17,Umpire_15
324,2013,Jaipur,2013-04-01,Mumbai Indians,Gujarat Titans,Mumbai Indians,field,normal,Mumbai Indians,70,0,Player_68,"Wankhede Stadium, Mumbai",Umpire_20,Umpire_18
325,2013,Mumbai,2013-03-24,Mumbai Indians,Lucknow Super Giants,Lucknow Super Giants,field,normal,Mumbai Indians,54,0,Player_128,"Rajiv Gandhi Intl Stadium, Hyderabad",Umpire_19,Umpire_22
326,2013,Hyderabad,2013-04-17,Mumbai Indians,Punjab Kings,Punjab Kings,field,normal,Mumbai Indians,0,2,Player_38,"Rajiv Gandhi Intl Stadium, Hyderabad",Umpire_25,Umpire_15
327,2013,Mumbai,2013-05-01,Gujarat Titans,Delhi Capitals,Delhi Capitals,bat,normal,Delhi Capitals,37,0,Player_21,"Feroz Shah Kotla, Delhi",Umpire_16,Umpire_12
328,2013,Delhi,2013-05-12,Delhi Capitals,Lucknow Super Giants,Delhi Capitals,field,no result,,0,0,Player_79,"M.A. Chidambaram Stadium, Chennai",Umpire_14,Umpire_13
329,2013,Jaipur,2013-05-21,Lucknow Super Giants,Gujarat Titans,Lucknow Super Giants,field,normal,Gujarat Titans,0,1,Player_58,"Sawai Mansingh Stadium, Jaipur",Umpire_19,Umpire_18
330,2013,Delhi,2013-03-02,Gujarat Titans,Lucknow Super Giants,Gujarat Titans,bat,normal,Gujarat Titans,0,9,Player_55,"Ekana Cricket Stadium, Lucknow",Umpire_1,Umpire_16
331,2013,Kolkata,2013-04-18,Punjab Kings,Mumbai Indians,Punjab Kings,field,normal,Punjab Kings,71,0,Player_43,"Rajiv Gandhi Intl Stadium, Hyderabad",Umpire_9,Umpire_1
332,2013,Chandigarh,2013-03-15,Royal Challengers Bangalore,Lucknow Super Giants,Lucknow Super Giants,bat,normal,Royal Challengers Bangalore,0,3,Player_62,"Wankhede Stadium, Mumbai",Umpire_14,Umpire_27
333,2013,Delhi,2013-05-21,Rajasthan Royals,Punjab Kings,Punjab Kings,bat,normal,Punjab Kings,0,9,Player_166,"Narendra Modi Stadium, Ahmedabad",Umpire_13,Umpire_24
334,2013,Chandigarh,2013-04-11,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,Royal Challengers Bangalore,0,2,Player_85,"Feroz Shah Kotla, Delhi",Umpire_18,Umpire_23
335,2013,Chandigarh,2013-05-11,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,field,normal,Royal Challengers Bangalore,0,4,Player_108,"Narendra Modi Stadium, Ahmedabad",Umpire_13,Umpire_15
336,2013,Mumbai,2013-04-19,Rajasthan Royals,Punjab Kings,Punjab Kings,field,normal,Rajasthan Royals,0,2,Player_17,"Wankhede Stadium, Mumbai",Umpire_12,Umpire_17
337,2013,Mumbai,2013-03-25,Delhi Capitals,Rajasthan Royals,Delhi Capitals,bat,normal,Rajasthan Royals,0,6,Player_10,"Sawai Mansingh Stadium, Jaipur",Umpire_16,Umpire_16
338,2013,Bangalore,2013-05-03,Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,normal,Chennai Super Kings,0,9,Player_180,"M. Chinnaswamy Stadium, Bangalore",Umpire_29,Umpire_26
339,2013,Chandigarh,2013-04-10,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,Rajasthan Royals,0,4,Player_87,"Rajiv Gandhi Intl Stadium, Hyderabad",Umpire_17,Umpire_16
340,2013,Bangalore,2013-04-18,Mumbai Indians,Punjab Kings,Punjab Kings,field,normal,Mumbai Indians,6,0,Player_12,"M. Chinnaswamy Stadium, Bangalore",Umpire_27,Umpire_22
341,2013,Lucknow,2013-03-23,Chennai Super Kings,Lucknow Super Giants,Chennai Super Kings,field,normal,Lucknow Super Giants,0,3,Player_181,"Feroz Shah Kotla, Delhi",Umpire_9,Umpire_15
342,2013,Lucknow,2013-04-12,Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,field,normal,Sunrisers Hyderabad,0,7,Player_119,"M.A. Chidambaram Stadium, Chennai",Umpire_9,Umpire_10
343,2013,Chennai,2013-03-19,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,bat,normal,Kolkata Knight Riders,4,0,Player_130,"Wankhede Stadium, Mumbai",Umpire_10,Umpire_2
344,2013,Bangalore,2013-03-10,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,bat,normal,Kolkata Knight Riders,85,0,Player_14,"Sawai Mansingh Stadium, Jaipur",Umpire_18,Umpire_21
345,2013,Lucknow,2013-05-26,Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad,bat,normal,Mumbai Indians,0,6,Player_134,"Wankhede Stadium, Mumbai",Umpire_19,Umpire_18
346,2013,Lucknow,2013-05-10,Gujarat Titans,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,Kolkata Knight Riders,96,0,Player_110,"Narendra Modi Stadium, Ahmedabad",Umpire_20,Umpire_10
347,2013,Chennai,2013-05-01,Punjab Kings,Delhi Capitals,Punjab Kings,field,normal,Delhi Capitals,2,0,Player_84,"Eden Gardens, Kolkata",Umpire_19,Umpire_18
348,2013,Chandigarh,2013-03-04,Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad,field,normal,Sunrisers Hyderabad,33,0,Player_42,"Eden Gardens, Kolkata",Umpire_18,Umpire_5
349,2013,Jaipur,2013-03-19,Punjab Kings,Gujarat Titans,Punjab Kings,field,normal,Gujarat Titans,30,0,Player_29,"Eden Gardens, Kolkata",Umpire_26,Umpire_8
350,2013,Hyderabad,2013-04-28,Punjab Kings,Delhi Capitals,Delhi Capitals,bat,normal,Delhi Capitals,88,0,Player_73,"Feroz Shah Kotla, Delhi",Umpire_13,Umpire_5
351,2013,Delhi,2013-04-01,Sunrisers Hyderabad,Gujarat Titans,Sunrisers Hyderabad,field,normal,Sunrisers Hyderabad,0,4,Player_132,"Ekana Cricket Stadium, Lucknow",Umpire_29,Umpire_5
352,2013,Chandigarh,2013-05-21,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,bat,normal,Rajasthan Royals,68,0,Player_106,"Narendra Modi Stadium, Ahmedabad",Umpire_12,Umpire_12
353,2013,Hyderabad,2013-04-13,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,field,normal,Chennai Super Kings,0,2,Player_112,"Ekana Cricket Stadium, Lucknow",Umpire_14,Umpire_11
354,2013,Kolkata,2013-04-19,Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore,bat,normal,Chennai Super Kings,5,0,Player_10,"Sawai Mansingh Stadium, Jaipur",Umpire_4,Umpire_18
355,2013,Ahmedabad,2013-05-02,Delhi Capitals,Royal Challengers Bangalore,Delhi Capitals,field,normal,Delhi Capitals,63,0,Player_105,"M. Chinnaswamy Stadium, Bangalore",Umpire_29,Umpire_9
356,2013,Lucknow,2013-03-06,Gujarat Titans,Punjab Kings,Punjab Kings,field,normal,Punjab Kings,39,0,Player_151,"Sawai Mansingh Stadium, Jaipur",Umpire_4,Umpire_17
357,2013,Hyderabad,2013-03-28,Delhi Capitals,Rajasthan Royals,Delhi Capitals,field,normal,Rajasthan Royals,0,2,Player_80,"Narendra Modi Stadium, Ahmedabad",Umpire_15,Umpire_13
358,2013,Jaipur,2013-03-20,Punjab Kings,Gujarat Titans,Gujarat Titans,bat,normal,Gujarat Titans,0,7,Player_151,"Feroz Shah Kotla, Delhi",Umpire_21,Umpire_15
359,2013,Ahmedabad,2013-03-04,Lucknow Super Giants,Rajasthan Royals,Rajasthan Royals,bat,normal,Rajasthan Royals,0,7,Player_34,"M.A. Chidambaram Stadium, Chennai",Umpire_5,Umpire_23
360,2013,Hyderabad,2013-04-21,Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,field,normal,Mumbai Indians,0,1,Player_30,"Feroz Shah Kotla, Delhi",Umpire_17,Umpire_9
361,2013,Mumbai,2013-04-29,Royal Challengers Bangalore,Gujarat Titans,Royal Challengers Bangalore,bat,normal,Gujarat Titans,0,8,Player_43,"Wankhede Stadium, Mumbai",Umpire_4,Umpire_26
362,2013,Delhi,2013-03-18,Kolkata Knight Riders,Gujarat Titans,Gujarat Titans,field,normal,Kolkata Knight Riders,25,0,Player_175,"Sawai Mansingh Stadium, Jaipur",Umpire_25,Umpire_29
363,2013,Bangalore,2013-03-02,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,bat,normal,Sunrisers Hyderabad,55,0,Player_184,"Rajiv Gandhi Intl Stadium, Hyderabad",Umpire_16,Umpire_23
364,2013,Ahmedabad,2013-03-27,Gujarat Titans,Chennai Super Kings,Gujarat Titans,field,normal,Gujarat Titans,0,4,Player_175,"M.A. Chidambaram Stadium, Chennai",Umpire_4,Umpire_19
365,2013,Chandigarh,2013-03-09,Punjab Kings,Kolkata Knight Riders,Kolkata Knight Riders,bat,normal,Punjab Kings,0,4,Player_196,"Eden Gardens, Kolkata",Umpire_24,Umpire_14
366,2013,Ahmedabad,2013-05-28,Rajasthan Royals,Lucknow Super Giants,Lucknow Super Giants,field,normal,Rajasthan Royals,32,0,Player_152,"Eden Gardens, Kolkata",Umpire_22,Umpire_27
367,2013,Chennai,2013-05-07,Lucknow Super Giants,Gujarat Titans,Lucknow Super Giants,bat,normal,Gujarat Titans,18,0,Player_177,"M.A. Chidambaram Stadium, Chennai",Umpire_12,Umpire_8
368,2013,Chennai,2013-03-14,Delhi Capitals,Mumbai Indians,Delhi Capitals,field,normal,Delhi Capitals,35,0,Player_158,"M. Chinnaswamy Stadium, Bangalore",Umpire_7,Umpire_20
369,2013,Lucknow,2013-03-12,Punjab Kings,Delhi Capitals,Delhi Capitals,field,normal,Punjab Kings,95,0,Player_178,"Ekana Cricket Stadium, Lucknow",Umpire_6,Umpire_28
370,2013,Jaipur,2013-04-06,Royal Challengers Bangalore,Delhi Capitals,Royal Challengers Bangalore,field,normal,Delhi Capitals,34,0,Player_45,"Ekana Cricket Stadium, Lucknow",Umpire_19,Umpire_2
371,2014,Chandigarh,2014-04-04,Mumbai Indians,Punjab Kings,Mumbai Indians,bat,normal,Mumbai Indians,0,7,Player_138,"Rajiv Gandhi Intl Stadium, Hyderabad",Umpire_24,Umpire_17
372,2014,Kolkata,2014-05-04,Gujarat Titans,Lucknow Super Giants,Gujarat Titans,field,no result,,0,0,Player_101,"PCA Stadium, Chandigarh",Umpire_16,Umpire_22
373,2014,Ahmedabad,2014-04-25,Lucknow Super Giants,Sunrisers Hyderabad,Lucknow Super Giants,field,normal,Lucknow Super Giants,0,1,Player_77,"M. Chinnaswamy Stadium, Bangalore",Umpire_2,Umpire_20
374,2014,Delhi,2014-03-12,Mumbai Indians,Delhi Capitals,Delhi Capitals,field,normal,Delhi Capitals,0,9,Player_13,"PCA Stadium, Chandigarh",Umpire_10,Umpire_1
375,2014,Kolkata,2014-05-11,Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,field,normal,Sunrisers Hyderabad,34,0,Player_71,"M.A. Chidambaram Stadium, Chennai",Umpire_6,Umpire_9
376,2014,Jaipur,2014-04-22,Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,field,normal,Rajasthan Royals,0,6,Player_84,"Narendra Modi Stadium, Ahmedabad",Umpire_15,Umpire_28
377,2014,Lucknow,2014-05-10,Royal Challengers Bangalore,Gujarat Titans,Royal Challengers Bangalore,bat,normal,Gujarat Titans,0,3,Player_123,"M.A. Chidambaram Stadium, Chennai",Umpire_23,Umpire_1
378,2014,Bangalore,2014-03-27,Gujarat Titans,Punjab Kings,Punjab Kings,bat,normal,Punjab Kings,45,0,Player_94,"Ekana Cricket Stadium, Lucknow",Umpire_13,Umpire_27
379,2014,Kolkata,2014-03-29,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,field,normal,Rajasthan Royals,95,0,Player_182,"Ekana Cricket Stadium, Lucknow",Umpire_19,Umpire_7
380,2014,Chennai,2014-05-04,Rajasthan Royals,Sunrisers Hyderabad,Rajasthan Royals,field,normal,Sunrisers Hyderabad,46,0,Player_111,"M.A. Chidambaram Stadium, Chennai",Umpire_27,Umpire_1
381,2014,Ahmedabad,2014-04-02,Delhi Capitals,Punjab Kings,Delhi Capitals,bat,normal,Delhi Capitals,0,5,Player_188,"Sawai Mansingh Stadium, Jaipur",Umpire_29,Umpire_10
382,2014,Chandigarh,2014-03-15,Gujarat Titans,Sunrisers Hyderabad,Sunrisers Hyderabad,field,normal,Sunrisers Hyderabad,26,0,Player_123,"Wankhede Stadium, Mumbai",Umpire_16,Umpire_5
383,2014,Chandigarh,2014-03-21,Gujarat Titans,Rajasthan Royals,Gujarat Titans,field,normal,Gujarat Titans,0,9,Player_199,"Sawai Mansingh Stadium, Jaipur",Umpire_21,Umpire_8
384,2014,Jaipur,2014-03-22,Mumbai Indians,Gujarat Titans,Mumbai Indians,field,normal,Gujarat Titans,10,0,Player_37,"Sawai Mansingh Stadium, Jaipur",Umpire_7,Umpire_23
385,2014,Mumbai,2014-05-28,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,field,normal,Chennai Super Kings,0,3,Player_72,"Rajiv Gandhi Intl Stadium, Hyderabad",Umpire_29,Umpire_5
386,2014,Ahmedabad,2014-04-29,Rajasthan Royals,Delhi Capitals,Rajasthan Royals,field,normal,Delhi Capitals,0,4,Player_67,"Sawai Mansingh Stadium, Jaipur",Umpire_29,Umpire_26
